name,bound_xmin,bound_ymin,bound_xmax,bound_ymax,reprojected_bound_xmin,reprojected_bound_ymin,reprojected_bound_xmax,reprojected_bound_ymax
EPSG:3114: MAGNA-SIRGAS / Colombia Far West zone,-85.7900,1.2000,-78.5800,12.6000,363164.6745,624502.4863,1166684.5926,1892003.4305
EPSG:3115: MAGNA-SIRGAS / Colombia West zone,-78.5800,0.0000,-75.5800,10.1000,832724.0443,491767.5344,1166720.9293,1609061.9453
EPSG:3116: MAGNA-SIRGAS / Colombia Bogota zone,-75.5800,-2.5000,-72.5800,11.9000,832882.2630,215234.4884,1166563.2360,1808232.4908
EPSG:3117: MAGNA-SIRGAS / Colombia East Central zone,-72.5800,-4.2200,-69.5800,12.6000,833174.7391,24974.6384,1166271.7314,1885693.8938
EPSG:3118: MAGNA-SIRGAS / Colombia East zone,-69.5800,1.1500,-66.9100,6.3500,832757.5273,618954.6980,1129949.4304,1194184.1269
EPSG:3119: Douala 1948 / AEF west,8.4000,1.5000,12.0000,5.0000,766623.3264,1165841.1330,1166909.0855,1552793.1534
EPSG:3120: Pulkovo 1942(58) / Poland zone I,18.0000,49.0300,24.1600,52.3300,4411686.9733,5294265.6264,4862072.5410,5661128.6774
EPSG:3121: PRS92 / Philippines zone 1,116.9000,7.7000,118.0000,9.3000,488799.3361,851503.4274,610154.4045,1028604.0935
EPSG:3122: PRS92 / Philippines zone 2,118.0000,6.9000,120.0000,12.3300,389309.0199,763138.7592,610348.2982,1363798.1860
EPSG:3123: PRS92 / Philippines zone 3,119.7500,5.4000,122.0000,20.7500,361282.7142,597234.1211,610654.1113,2295861.7705
